IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.140.44.206,2086,2086,false,LHR,Europe,London,155,8.43
40.66.63.160,80,80,false,CDG,Europe,Paris,150,8.41
4.255.56.137,443,443,true,IAD,North America,Ashburn,227,8.23
20.220.204.217,443,443,true,YYZ,North America,Toronto,247,8.03
20.220.30.109,2053,443,true,YYZ,North America,Toronto,220,7.86
20.200.126.106,2053,443,true,YYZ,North America,Toronto,217,7.75
20.220.30.109,8443,443,true,YYZ,North America,Toronto,220,7.75
13.90.119.144,2053,443,true,IAD,North America,Ashburn,229,7.71
20.75.178.96,443,443,true,IAD,North America,Ashburn,227,7.68
13.90.119.144,8443,443,true,IAD,North America,Ashburn,237,7.57
20.246.144.214,443,443,true,IAD,North America,Ashburn,233,6.77
172.208.24.46,443,443,true,IAD,North America,Ashburn,224,6.61
20.246.127.166,443,443,true,IAD,North America,Ashburn,249,5.99
172.208.36.45,80,443,true,IAD,North America,Ashburn,228,5.67
172.208.36.45,443,443,true,IAD,North America,Ashburn,230,5.53
20.226.170.152,443,0,false,GRU,South America,São Paulo,335,4.08
191.237.202.255,443,0,false,GRU,South America,São Paulo,337,3.87
191.237.205.178,443,0,false,GRU,South America,São Paulo,337,3.64
51.107.6.220,8443,443,true,MXP,Europe,Milan,151,3.53
51.107.6.138,8443,443,true,MXP,Europe,Milan,154,3.25
20.170.41.153,443,443,true,FRA,Europe,Frankfurt,154,3.13
20.197.226.118,2053,443,true,GRU,South America,São Paulo,336,3.06
51.107.13.85,8443,443,true,MXP,Europe,Milan,169,2.99
51.107.6.128,8443,443,true,MXP,Europe,Milan,151,2.70
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,174,2.67
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,174,2.63
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,174,2.63
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,174,2.62
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,176,2.61
